"Title","Writer","Score","Reviewcount","Novel","Genre","n"
"0시를 향하여","애거사 크리스티",0,0,"x","추리",6
"0시를 향하여","애거사 크리스티",7,8,"x","추리",6
"0시를 향하여","애거사 크리스티",7,13,"x","추리",6
"0시를 향하여","애거사 크리스티",7,8,"x","공포",6
"0시를 향하여","애거사 크리스티",7,13,"x","공포",6
"0시를 향하여","애거사 크리스티",0,0,"영미소설","X",6
"1984","조지 오웰",8,3,"x","SF",15
"1984","조지 오웰",10,2,"영미소설","X",15
"1984","조지 오웰",0,0,"영미소설","X",15
"1984","조지 오웰",0,0,"영미소설","X",15
"1984","조지 오웰",9,5,"영미소설","X",15
"1984","조지 오웰",0,0,"영미소설","X",15
"1984","조지 오웰",0,0,"영미소설","X",15
"1984","조지 오웰",0,0,"영미소설","X",15
"1984","조지 오웰",0,0,"영미소설","X",15
"1984","조지 오웰",8,23,"영미소설","X",15
"1984","조지 오웰",0,0,"영미소설","X",15
"1984","조지 오웰",0,0,"영미소설","X",15
"1984","조지 오웰",8,3,"영미소설","X",15
"1984","조지 오웰",10,1,"영미소설","X",15
"1984","조지 오웰",10,1,"영미소설","X",15
"3막의 비극","애거사 크리스티",6,1,"x","추리",9
"3막의 비극","애거사 크리스티",8,1,"x","추리",9
"3막의 비극","애거사 크리스티",0,0,"x","추리",9
"3막의 비극","애거사 크리스티",0,0,"x","추리",9
"3막의 비극","애거사 크리스티",7,14,"x","추리",9
"3막의 비극","애거사 크리스티",0,0,"x","공포",9
"3막의 비극","애거사 크리스티",0,0,"x","공포",9
"3막의 비극","애거사 크리스티",7,14,"x","공포",9
"3막의 비극","애거사 크리스티",8,1,"영미소설","X",9
"ABC 살인사건","애거사 크리스티",8,21,"x","추리",8
"ABC 살인사건","애거사 크리스티",9,1,"x","추리",8
"ABC 살인사건","애거사 크리스티",6,13,"x","추리",8
"ABC 살인사건","애거사 크리스티",8,21,"x","공포",8
"ABC 살인사건","애거사 크리스티",9,1,"x","공포",8
"ABC 살인사건","애거사 크리스티",6,13,"x","공포",8
"ABC 살인사건","애거사 크리스티",8,21,"영미소설","X",8
"ABC 살인사건","애거사 크리스티",6,13,"영미소설","X",8
"X의 비극","엘러리 퀸",8,13,"x","추리",6
"X의 비극","엘러리 퀸",8,4,"x","추리",6
"X의 비극","엘러리 퀸",7,4,"x","추리",6
"X의 비극","엘러리 퀸",8,4,"x","공포",6
"X의 비극","엘러리 퀸",7,4,"x","공포",6
"X의 비극","엘러리 퀸",8,13,"영미소설","X",6
"Y의 비극","엘러리 퀸",8,34,"x","추리",9
"Y의 비극","엘러리 퀸",7,19,"x","추리",9
"Y의 비극","엘러리 퀸",7,11,"x","추리",9
"Y의 비극","엘러리 퀸",7,23,"x","추리",9
"Y의 비극","엘러리 퀸",7,19,"x","공포",9
"Y의 비극","엘러리 퀸",7,11,"x","공포",9
"Y의 비극","엘러리 퀸",7,23,"x","공포",9
"Y의 비극","엘러리 퀸",8,34,"영미소설","X",9
"Y의 비극","엘러리 퀸",7,11,"영미소설","X",9
"Z의 비극","엘러리 퀸",8,7,"x","추리",6
"Z의 비극","엘러리 퀸",6,1,"x","추리",6
"Z의 비극","엘러리 퀸",6,4,"x","추리",6
"Z의 비극","엘러리 퀸",6,1,"x","공포",6
"Z의 비극","엘러리 퀸",6,4,"x","공포",6
"Z의 비극","엘러리 퀸",8,7,"영미소설","X",6
"거울 나라의 앨리스","루이스 캐롤",8,1,"영미소설","X",5
"거울 나라의 앨리스","루이스 캐롤",10,1,"영미소설","X",5
"거울 나라의 앨리스","루이스 캐롤",6,1,"영미소설","X",5
"거울 나라의 앨리스","루이스 캐롤",7,2,"영미소설","X",5
"거울 나라의 앨리스","루이스 캐롤",0,0,"영미소설","X",5
"걸리버 여행기","조나단 스위프트",0,0,"영미소설","X",7
"걸리버 여행기","조나단 스위프트",0,0,"영미소설","X",7
"걸리버 여행기","조나단 스위프트",7,1,"영미소설","X",7
"걸리버 여행기","조나단 스위프트",0,0,"영미소설","X",7
"걸리버 여행기","조나단 스위프트",0,0,"영미소설","X",7
"걸리버 여행기","조나단 스위프트",0,0,"영미소설","X",7
"걸리버 여행기","조나단 스위프트",0,0,"동유럽소설","X",7
"검은 고양이","에드가 앨런 포",8,1,"x","추리",7
"검은 고양이","에드가 앨런 포",0,0,"영미소설","X",7
"검은 고양이","에드가 앨런 포",10,1,"x","공포",7
"검은 고양이","에드가 앨런 포",8,1,"x","공포",7
"검은 고양이","에드가 앨런 포",10,1,"영미소설","X",7
"검은 고양이","에드가 앨런 포",8,2,"영미소설","X",7
"검은 고양이","에드가 앨런 포",8,1,"영미소설","X",7
"공포의 계곡","아서 코난 도일",0,0,"x","추리",19
"공포의 계곡","아서 코난 도일",10,1,"x","추리",19
"공포의 계곡","아서 코난 도일",0,0,"x","추리",19
"공포의 계곡","아서 코난 도일",0,0,"x","추리",19
"공포의 계곡","아서 코난 도일",10,2,"x","추리",19
"공포의 계곡","아서 코난 도일",0,0,"x","추리",19
"공포의 계곡","아서 코난 도일",8,12,"x","추리",19
"공포의 계곡","아서 코난 도일",0,0,"x","추리",19
"공포의 계곡","아서 코난 도일",0,0,"x","추리",19
"공포의 계곡","아서 코난 도일",10,2,"x","공포",19
"공포의 계곡","아서 코난 도일",0,0,"영미소설","X",19
"공포의 계곡","아서 코난 도일",10,1,"영미소설","X",19
"공포의 계곡","아서 코난 도일",0,0,"영미소설","X",19
"공포의 계곡","아서 코난 도일",0,0,"영미소설","X",19
"공포의 계곡","아서 코난 도일",0,0,"영미소설","X",19
"공포의 계곡","아서 코난 도일",10,2,"영미소설","X",19
"공포의 계곡","아서 코난 도일",0,0,"영미소설","X",19
"공포의 계곡","아서 코난 도일",8,12,"영미소설","X",19
"공포의 계곡","아서 코난 도일",0,0,"영미소설","X",19
"괴도신사 뤼팽","모리스 르블랑",0,0,"x","추리",5
"괴도신사 뤼팽","모리스 르블랑",6,26,"x","추리",5
"괴도신사 뤼팽","모리스 르블랑",6,26,"x","공포",5
"괴도신사 뤼팽","모리스 르블랑",0,0,"프랑스소설","X",5
"괴도신사 뤼팽","모리스 르블랑",6,26,"프랑스소설","X",5
"귀여운 여인","안톤 파블로비치 체호프",0,0,"러시아소설","X",5
"귀여운 여인","안톤 파블로비치 체호프",0,0,"러시아소설","X",5
"귀여운 여인","안톤 파블로비치 체호프",8,3,"러시아소설","X",5
"귀여운 여인","안톤 파블로비치 체호프",0,0,"러시아소설","X",5
"귀여운 여인","안톤 파블로비치 체호프",0,0,"기타 국가의 소설","X",5
"그리고 아무도 없었다","애거사 크리스티",8,113,"x","추리",9
"그리고 아무도 없었다","애거사 크리스티",8,6,"x","추리",9
"그리고 아무도 없었다","애거사 크리스티",7,52,"x","추리",9
"그리고 아무도 없었다","애거사 크리스티",7,9,"x","추리",9
"그리고 아무도 없었다","애거사 크리스티",8,113,"x","공포",9
"그리고 아무도 없었다","애거사 크리스티",7,52,"x","공포",9
